tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,weighted_rating
tt3498820,movie,Captain America: Civil War,Captain America: Civil War,0,2016,\N,147,"Action,Sci-Fi",7.8,902636,7.618336967992729
tt1877830,movie,The Batman,The Batman,0,2022,\N,176,"Action,Crime,Drama",7.8,893310,7.61679376549044
tt1659337,movie,The Perks of Being a Wallflower,The Perks of Being a Wallflower,0,2012,\N,103,Drama,7.9,577874,7.6167906446107505
tt1028532,movie,Hachi: A Dog's Tale,Hachi: A Dog's Tale,0,2009,\N,93,"Biography,Drama,Family",8.1,333142,7.611802488339575
tt0080678,movie,The Elephant Man,The Elephant Man,0,1980,\N,124,"Biography,Drama",8.2,276146,7.611364136155975
tt1255953,movie,Incendies,Incendies,0,2010,\N,131,"Drama,Mystery,War",8.3,235868,7.611086488837732
tt2948372,movie,Soul,Soul,0,2020,\N,100,"Adventure,Animation,Comedy",8.0,415597,7.609697477310953
tt0206634,movie,Children of Men,Children of Men,0,2006,\N,109,"Drama,Sci-Fi,Thriller",7.9,553899,7.6078380013344455
tt0057115,movie,The Great Escape,The Great Escape,0,1963,\N,172,"Adventure,Drama,Thriller",8.2,271854,7.606060798674346
tt5074352,movie,Dangal,Dangal,0,2016,\N,161,"Action,Biography,Drama",8.3,231818,7.6046922811996644
tt0790636,movie,Dallas Buyers Club,Dallas Buyers Club,0,2013,\N,117,"Biography,Drama",7.9,539064,7.602009251714409
tt1285016,movie,The Social Network,The Social Network,0,2010,\N,120,"Biography,Drama",7.8,800186,7.599812949650747
tt5013056,movie,Dunkirk,Dunkirk,0,2017,\N,106,"Action,Drama,History",7.8,784231,7.596582660040401
tt5052448,movie,Get Out,Get Out,0,2017,\N,104,"Horror,Mystery,Thriller",7.8,776924,7.595068202407416
tt0986264,movie,Like Stars on Earth,Taare Zameen Par,0,2007,\N,162,"Drama,Family",8.3,223835,7.591734543038218
tt1074638,movie,Skyfall,Skyfall,0,2012,\N,143,"Action,Adventure,Thriller",7.8,757107,7.590845056429158
tt0327056,movie,Mystic River,Mystic River,0,2003,\N,138,"Crime,Drama,Mystery",7.9,509879,7.589835748892126
tt0780504,movie,Drive,Drive,0,2011,\N,100,"Action,Drama",7.8,745073,7.588194506053319
tt1170358,movie,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,0,2013,\N,161,"Adventure,Fantasy",7.8,738764,7.58677789483769
tt0381681,movie,Before Sunset,Before Sunset,0,2004,\N,80,"Drama,Romance",8.1,306590,7.58644128097771
tt3748528,movie,Rogue One: A Star Wars Story,Rogue One,0,2016,\N,133,"Action,Adventure,Sci-Fi",7.8,736413,7.586245147191173
